FECHA_HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CASOS,VICTIMAS
02/21/2023 12:00:00 AM,54,NORTE DE SANTANDER,54405,LOS PATIOS,1,4
02/25/2023 12:00:00 AM,76,VALLE DEL CAUCA,76147,CARTAGO,1,4
02/27/2023 12:00:00 AM,15,BOYACA,15293,GACHANTIVA,1,3
03/12/2023 12:00:00 AM,50,META,50568,PUERTO GAITAN,1,3
03/14/2023 12:00:00 AM,8,ATLANTICO,8758,SOLEDAD,1,3
03/19/2023 12:00:00 AM,8,ATLANTICO,8001,BARRANQUILLA,1,5
03/20/2023 12:00:00 AM,19,CAUCA,19075,BALBOA,1,3
03/23/2023 12:00:00 AM,52,NARIÑO,52256,EL ROSARIO,1,4
03/29/2023 12:00:00 AM,54,NORTE DE SANTANDER,54245,EL CARMEN,1,10
04/01/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,4
04/03/2023 12:00:00 AM,50,META,50568,PUERTO GAITAN,1,3
04/11/2023 12:00:00 AM,19,CAUCA,19256,EL TAMBO,1,3
04/15/2023 12:00:00 AM,27,CHOCO,27600,RIO QUITO,1,4
04/15/2023 12:00:00 AM,44,LA GUAJIRA,44090,DIBULLA,1,4
04/15/2023 12:00:00 AM,47,MAGDALENA,47460,NUEVA GRANADA,1,3
04/29/2023 12:00:00 AM,41,HUILA,41298,GARZON,1,3
04/29/2023 12:00:00 AM,18,CAQUETA,18001,FLORENCIA,1,3
05/05/2023 12:00:00 AM,86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,1,3
05/20/2023 12:00:00 AM,70,SUCRE,70001,SINCELEJO,1,3
05/21/2023 12:00:00 AM,44,LA GUAJIRA,44001,RIOHACHA,1,3
05/21/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,3
05/24/2023 12:00:00 AM,54,NORTE DE SANTANDER,54810,TIBU,1,3
05/29/2023 12:00:00 AM,8,ATLANTICO,8758,SOLEDAD,1,3
06/03/2023 12:00:00 AM,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,1,3
06/04/2023 12:00:00 AM,86,PUTUMAYO,86885,VILLAGARZON,1,3
06/05/2023 12:00:00 AM,19,CAUCA,19548,PIENDAMO,1,3
06/06/2023 12:00:00 AM,20,CESAR,20787,TAMALAMEQUE,1,3
06/27/2023 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,1,3
06/27/2023 12:00:00 AM,76,VALLE DEL CAUCA,76001,CALI,1,3
06/29/2023 12:00:00 AM,8,ATLANTICO,8573,PUERTO COLOMBIA,1,3
06/29/2023 12:00:00 AM,50,META,50001,VILLAVICENCIO,1,3
07/01/2023 12:00:00 AM,27,CHOCO,27001,QUIBDO,1,3
07/03/2023 12:00:00 AM,19,CAUCA,19212,CORINTO,1,3
07/03/2023 12:00:00 AM,76,VALLE DEL CAUCA,76834,TULUA,1,4
07/12/2023 12:00:00 AM,27,CHOCO,27077,BAJO BAUDO,1,3
07/13/2023 12:00:00 AM,76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,1,3
07/29/2023 12:00:00 AM,18,CAQUETA,18150,CARTAGENA DEL CHAIRA,1,3
08/02/2023 12:00:00 AM,86,PUTUMAYO,86571,PUERTO GUZMAN,1,3
08/04/2023 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,1,3
08/10/2023 12:00:00 AM,52,NARIÑO,52835,SAN ANDRES DE TUMACO,1,3
08/12/2023 12:00:00 AM,19,CAUCA,19473,MORALES,1,3
08/13/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,3
08/16/2023 12:00:00 AM,27,CHOCO,27001,QUIBDO,1,3
08/19/2023 12:00:00 AM,41,HUILA,41357,IQUIRA,1,3
08/23/2023 12:00:00 AM,5,ANTIOQUIA,5120,CACERES,1,4
08/24/2023 12:00:00 AM,66,RISARALDA,66682,SANTA ROSA DE CABAL,1,3
08/25/2023 12:00:00 AM,70,SUCRE,70713,SAN ONOFRE,1,3
08/25/2023 12:00:00 AM,86,PUTUMAYO,86001,MOCOA,1,4
09/05/2023 12:00:00 AM,76,VALLE DEL CAUCA,76001,CALI,1,3
09/11/2023 12:00:00 AM,13,BOLIVAR,13433,MAHATES,1,3
09/18/2023 12:00:00 AM,86,PUTUMAYO,86001,MOCOA,1,4
09/19/2023 12:00:00 AM,50,META,50689,SAN MARTIN,1,4
09/23/2023 12:00:00 AM,13,BOLIVAR,13836,TURBACO,1,3
09/26/2023 12:00:00 AM,20,CESAR,20001,VALLEDUPAR,1,3
09/27/2023 12:00:00 AM,19,CAUCA,19075,BALBOA,1,3
10/02/2023 12:00:00 AM,47,MAGDALENA,47001,SANTA MARTA,1,3
10/07/2023 12:00:00 AM,47,MAGDALENA,47245,EL BANCO,1,3
10/10/2023 12:00:00 AM,47,MAGDALENA,47001,SANTA MARTA,1,3
10/11/2023 12:00:00 AM,5,ANTIOQUIA,5002,ABEJORRAL,1,3
10/15/2023 12:00:00 AM,19,CAUCA,19142,CALOTO,1,5
10/21/2023 12:00:00 AM,8,ATLANTICO,8433,MALAMBO,1,4
10/23/2023 12:00:00 AM,8,ATLANTICO,8758,SOLEDAD,1,3
10/27/2023 12:00:00 AM,23,CORDOBA,23807,TIERRALTA,1,3
11/03/2023 12:00:00 AM,5,ANTIOQUIA,5088,BELLO,1,3
11/04/2023 12:00:00 AM,19,CAUCA,19455,MIRANDA,1,3
