FECHA_HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CASOS,VICTIMAS
2023/05/24,54,NORTE DE SANTANDER,54810,TIBU,1,3
2023/05/29,8,ATLANTICO,8758,SOLEDAD,1,3
2023/06/03,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,1,3
2023/06/04,86,PUTUMAYO,86885,VILLAGARZON,1,3
2023/06/05,19,CAUCA,19548,PIENDAMO,1,3
2023/06/06,20,CESAR,20787,TAMALAMEQUE,1,3
2023/06/27,54,NORTE DE SANTANDER,54001,CUCUTA,1,3
2023/06/27,76,VALLE DEL CAUCA,76001,CALI,1,3
2023/06/29,8,ATLANTICO,8573,PUERTO COLOMBIA,1,3
2023/06/29,50,META,50001,VILLAVICENCIO,1,3
2023/07/01,27,CHOCO,27001,QUIBDO,1,3
2023/07/03,19,CAUCA,19212,CORINTO,1,3
2023/07/03,76,VALLE DEL CAUCA,76834,TULUA,1,4
2023/07/12,27,CHOCO,27077,BAJO BAUDO,1,3
2023/07/13,76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,1,3
2023/07/29,18,CAQUETA,18150,CARTAGENA DEL CHAIRA,1,3
2023/08/02,86,PUTUMAYO,86571,PUERTO GUZMAN,1,3
2023/08/04,54,NORTE DE SANTANDER,54001,CUCUTA,1,3
2023/08/10,52,NARIÑO,52835,SAN ANDRES DE TUMACO,1,3
2023/08/12,19,CAUCA,19473,MORALES,1,3
2023/08/13,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,3
2023/08/16,27,CHOCO,27001,QUIBDO,1,3
2023/08/19,41,HUILA,41357,IQUIRA,1,3
2023/08/23,5,ANTIOQUIA,5120,CACERES,1,4
2023/08/24,66,RISARALDA,66682,SANTA ROSA DE CABAL,1,3
2023/08/25,70,SUCRE,70713,SAN ONOFRE,1,3
2023/08/25,86,PUTUMAYO,86001,MOCOA,1,4
2023/09/05,76,VALLE DEL CAUCA,76001,CALI,1,3
2023/09/11,13,BOLIVAR,13433,MAHATES,1,3
2023/09/18,86,PUTUMAYO,86001,MOCOA,1,4
2023/09/19,50,META,50689,SAN MARTIN,1,4
2023/09/23,13,BOLIVAR,13836,TURBACO,1,3
2023/09/26,20,CESAR,20001,VALLEDUPAR,1,3
2023/09/27,19,CAUCA,19075,BALBOA,1,3
2023/10/02,47,MAGDALENA,47001,SANTA MARTA,1,3
2023/10/07,47,MAGDALENA,47245,EL BANCO,1,3
2023/10/10,47,MAGDALENA,47001,SANTA MARTA,1,3
2023/10/11,5,ANTIOQUIA,5002,ABEJORRAL,1,3
2023/10/15,19,CAUCA,19142,CALOTO,1,5
2023/10/21,8,ATLANTICO,8433,MALAMBO,1,4
2023/10/23,8,ATLANTICO,8758,SOLEDAD,1,3
2023/10/27,23,CORDOBA,23807,TIERRALTA,1,3
2023/11/03,5,ANTIOQUIA,5088,BELLO,1,3
2023/11/04,19,CAUCA,19455,MIRANDA,1,3
2023/11/06,19,CAUCA,19698,SANTANDER DE QUILICHAO,1,3
2023/11/06,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,4
2023/11/07,52,NARIÑO,52254,EL PEÑOL,1,3
2023/11/18,76,VALLE DEL CAUCA,76828,TRUJILLO,1,3
2023/11/20,5,ANTIOQUIA,5579,PUERTO BERRIO,1,4
2023/11/20,85,CASANARE,85440,VILLANUEVA,1,3
2023/11/20,52,NARIÑO,52356,IPIALES,1,3
2023/11/22,91,AMAZONAS,91001,LETICIA,1,3
2023/11/27,76,VALLE DEL CAUCA,76109,BUENAVENTURA,1,3
2023/11/29,47,MAGDALENA,47001,SANTA MARTA,1,3
2023/12/03,76,VALLE DEL CAUCA,76520,PALMIRA,1,3
2023/12/03,5,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,1,7
2023/12/07,52,NARIÑO,52356,IPIALES,1,3
2023/12/16,17,CALDAS,17380,LA DORADA,1,3
2023/12/18,5,ANTIOQUIA,5861,VENECIA,1,3
2023/12/22,19,CAUCA,19698,SANTANDER DE QUILICHAO,1,3
2023/12/25,25,CUNDINAMARCA,25473,MOSQUERA,1,3
2024/01/08,86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,1,3
